city	longitude	latitude	traveltext
北京	116.46	39.92	&nbsp&nbsp&nbsp&nbsp老贺、狒狒、我一行三人四点半出发，清晨北京站迎着朝晖散着光芒
秦皇岛	119.57	39.95	&nbsp&nbsp&nbsp&nbsp到了秦皇岛，距海边最近3km，铁路周边房子很矮，但看不到海，然而能感到大海的气息，就在不远处！
沈阳	123.38	41.80	&nbsp&nbsp&nbsp&nbsp上次跟龙神来沈阳是14年全年最冷时候，当时喘气鼻孔都疼
长春	125.35	43.88	&nbsp&nbsp&nbsp&nbsp刷新了向北的极限，从沈阳到长春的路上，俩东北爷们从互不相识到举杯共饮哥俩好，然后一言不合开始对骂，果然东北爷们能用手解决的问题从不麻烦嘴，骂了几句开始互殴，两人赤膊相向，一个头被打破了，乘警带走二人，东北爷们所传不虚
哈尔滨	126.63	45.75	&nbsp&nbsp&nbsp&nbsp哈尔滨站就一个字形容：破！周围人很少，哈工大就在旁边，校园人很少，正在庆祝航天学院院庆，从宣传横幅、展牌可以看出哈工大果然以航天立校，殊难想象哈工大缺席的中国航天事业！没去中央大街，遗憾，一顿饭120三个人，撑死且剩了将近一半，而且真心好吃
海拉尔	119.39	49.12	&nbsp&nbsp&nbsp&nbsp晚上十点哈尔滨出发，1点睡着，4点、5点、6点各醒了一次，7点半到达，总体感觉休息的还不错<br>&nbsp&nbsp&nbsp&nbsp海拉尔是呼伦贝尔政经文中心，狒狒说是呼伦贝尔的市会，没听过这种说法，但能理解，因为呼伦贝尔市的面积超过了浙江省与江苏省的总和，市会就可以当成省会了，我们包了一辆suv（kia），开车小哥一口东北话，瘦的可怜，蒙古的汉人跟其他地方的汉人毫无二致，未作停留，向黑山头进发！
额尔古纳草原	119.45	49.33	&nbsp&nbsp&nbsp&nbsp草原，看到了，小山包起起伏伏，并不平坦，非常颠簸，最震憾的是云，在天边，低垂，凝视远方以为来到了另外一个星球，草原上阳光明媚，风比较大，巨大的云飘动，草色因云的遮盖而深浅变换，帅爆了，草不长，但看远处满是绿色。
黑山头	119.58	50.22	&nbsp&nbsp&nbsp&nbsp黑山头的草原上，人生第一次骑马，作为鲜卑后裔，想起祖先驰骋岁月，多想策马奔腾，但是我们只交了100块，不能驰骋，溜了一小圈，完全没过瘾，下次定要信马由缰<br>&nbsp&nbsp&nbsp&nbsp在牧民家中吃的烤羊肉串，一串绝对能赶上北京五串，吃了七八串，一罐啤酒，草原天黑的晚，日月同天，霞光散漫，一条河水，弯弯曲曲，蒙古包（地毯是自家羊毛织的，绑线是骆驼皮）里边吃边看外面景色，够爽<br>&nbsp&nbsp&nbsp&nbsp是夜，睡在蒙古包里，有空调、电视、抽水马桶、淋浴，组织的篝火晚会完全没有氛围，想必还非旅游旺季，旅客太少的缘故。
满洲里	117.47	49.58	&nbsp&nbsp&nbsp&nbsp旅行第二天，贸易重镇满洲里，吞吐量1000万吨，相对于上海港的7亿吨，微不足道，我们的木制家具多是从俄进口，满洲里粗加工，运往江南细加工，然后进入我们家中<br>&nbsp&nbsp&nbsp&nbsp到处都是套娃的形象，去了国门，对面是俄罗斯国门，俄国国门相形寒酸，毕竟远东没啥人，大城市也只是区区几万人，城中俄国人、车甚多，餐厅、建筑都是俄国风格，不得不说俄国小孩子真漂亮，俄国年轻的男男女女高高瘦瘦，40+的基本上都是大腹便便，经常是一家几口人走在一起，对比实在是太鲜明。
呼伦湖	116.20	49.00	&nbsp&nbsp&nbsp&nbsp旅行第三天，呼伦湖，呼伦贝尔得名于此————呼伦湖、贝尔湖，第五大淡水湖，鲜卑人曾长期生活于此，好多猛犸化石出土于此，成吉思汗干掉塔塔儿部后迁居此处（后役轻松灭乃蛮部，统一全蒙古），蒙古草原地域广大，此为精华之地，水草丰美，呼伦湖颇大，“呼伦”蒙语就是像海一般的意思。
